begin_time;end_time;Diferencia_tiempo;Low_freq;high _freq;Max_time;Energy;Max_entropy;Max_Freq;Max_Power;Min_Entropy;Peak_freq;Longiti;Pais
7.959;8.867;908.00;179.3;4212.8;7.970;112.9;4.391;1636.5;102.3;1.374;1636.5;156.00;ecuador
8.652;9.066;414.00;934.3;3270.1;8.742;108.2;3.652;1636.5;98.5;1.375;1636.5;71.00;costa_rica
1.868;2.651;783.00;289.2;6434.3;2.078;111.4;5.186;1636.5;101.8;1.376;1636.5;135.00;ecuador
18.618;19.281;663.00;195.1;3707.5;18.680;108.0;4.485;1550.4;100.5;1.378;1550.4;114.00;ecuador
8.630;9.315;685.00;547.5;3558.9;8.848;114.6;4.107;1593.8;101.1;1.379;1593.8;128.00;costa_rica
26.629;28.965;2.336;422.4;4139.7;27.980;115.1;4.796;1722.7;101.0;1.388;1722.7;402.00;costa_rica
27.213;28.498;1.285;183.0;3842.7;27.980;114.2;4.129;1722.7;101.0;1.391;1722.7;222.00;costa_rica
27.213;28.498;1.285;183.0;3842.7;27.980;114.2;4.129;1722.7;101.0;1.391;1722.7;222.00;costa_rica
18.669;20.165;1.496;673.00;4571.3;20.137;112.4;4.635;1722.7;99.5;1.394;1722.7;257.00;ecuador
4.180;4.887;707.00;906.2;3700.2;4.412;113.5;3.719;1378.1;101.9;1.394;1378.1;121.00;ecuador
4.180;4.887;707.00;906.2;3700.2;4.412;113.5;3.719;1378.1;101.9;1.394;1378.1;121.00;ecuador
747.00;2.195;1.448;606.9;3742.4;1.039;114.5;4.649;1636.5;100.5;1.401;1636.5;250.00;costa_rica
27.053;28.744;1.691;846.2;3086.0;27.852;113.2;4.278;1378.1;100.5;1.401;1378.1;291.00;ecuador
69.882;72.516;2.634;92.6;3427.9;72.121;114.0;4.747;1636.5;101.2;1.411;1636.5;454.00;venezuela
13.942;14.903;961.00;448.2;3854.3;13.955;110.8;3.976;1550.4;98.6;1.418;1550.4;166.00;ecuador
30.066;30.548;482.00;361.5;3687.0;30.157;109.3;4.246;1722.7;99.3;1.419;1722.7;83.00;ecuador
2.308;3.718;1.410;194.3;3302.6;2.461;107.1;4.651;1808.8;95.1;1.419;1808.8;243.00;venezuela
9.903;10.289;386.00;302.1;3473.6;9.944;106.4;3.771;1550.4;95.0;1.420;1550.4;67.00;ecuador
4.756;5.133;377.00;93.8;3565.5;4.830;104.1;4.683;1636.5;94.1;1.420;1636.5;65.00;venezuela
12.286;13.301;1.015;257.00;4392.1;12.649;107.5;4.441;1550.4;95.4;1.422;1550.4;175.00;ecuador
3.053;3.521;468.00;365.0;3741.4;3.168;110.7;4.435;1593.8;102.1;1.423;1593.8;88.00;costa_rica
9.962;10.817;855.00;621.00;4840.2;9.973;112.6;4.455;1636.5;101.3;1.427;1636.5;147.00;ecuador
17.314;20.199;2.885;185.3;3520.6;17.734;118.7;4.754;1550.4;101.4;1.430;1550.4;497.00;venezuela
11.527;12.244;717.00;432.00;3558.9;11.712;112.1;4.316;1593.8;99.8;1.431;1593.8;134.00;costa_rica
5.423;5.723;300.00;302.1;3926.7;5.700;106.8;4.178;1722.7;98.6;1.436;1722.7;51.00;ecuador
4.477;4.704;227.00;518.0;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;57.00;costa_rica
4.477;4.704;227.00;518.0;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;39.00;costa_rica
4.477;4.704;227.00;518.0;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;63.00;venezuela
4.477;4.704;227.00;518.0;3107.7;4.621;95.2;3.739;1464.3;86.4;1.437;1464.3;67.00;venezuela
7.765;8.592;827.00;120.5;3735.2;7.935;107.3;4.851;1550.4;96.0;1.440;1550.4;143.00;ecuador
7.756;8.618;862.00;186.9;3924.2;7.935;107.4;4.843;1550.4;96.0;1.442;1550.4;148.00;costa_rica
7.166;8.696;1.530;547.5;3334.9;7.477;112.6;4.601;1464.3;100.6;1.445;1464.3;263.00;ecuador
5.795;6.423;628.00;97.6;3707.5;5.927;113.1;4.792;3531.4;98.9;1.449;3531.4;108.00;ecuador
5.978;8.504;2.526;242.00;3337.8;6.618;110.8;4.847;1550.4;99.0;1.458;1550.4;436.00;venezuela
13.957;14.892;935.00;365.0;5475.3;14.155;113.0;5.215;1593.8;100.0;1.461;1593.8;175.00;costa_rica
